Model,Accuracy,F1 (weighted),ROC-AUC,Cohen Kappa,CV Accuracy
Logistic Regression,0.7681818181818182,0.759509216993208,0.8894122355204944,0.6529646469332838,0.7011363636363637
SVM (RBF),0.6727272727272727,0.667332291768382,0.8529202575498864,0.5084409136047666,0.6477272727272727
XGBoost,0.6409090909090909,0.6296558239467985,0.8233753513002268,0.46165283112377653,0.6056818181818182
Random Forest,0.5681818181818182,0.5553825938210989,0.7712349681412721,0.35038697044105305,0.5840909090909091
KNN,0.4636363636363636,0.45490259740259736,0.647862364108262,0.19683187921539513,0.46931818181818186
